last_name,first_name,email,phone,student_id
Hogan,Orli,ac.ipsum.Phasellus@eratVivamus.edu,1-107-678-7494,BC2ED432-E161-3F23-1958-70DC1D1C57DF
Weaver,Natalie,gravida@sed.ca,1-114-829-4173,B46462B1-0678-250B-5E7C-2239C7805562
Franklin,Latifah,cubilia.Curae.Phasellus@sitametluctus.net,1-947-682-1289,CE72ADE0-5E31-B6CE-0288-AE8056A43EB6
Walton,Trevor,diam.eu.dolor@liberoat.ca,1-937-272-3099,CA4C523A-7E36-5FAC-9462-905D0801ACA9
Delgado,Gray,rutrum.eu.ultrices@nec.org,1-627-202-5026,C71C7D9F-27F5-B94B-A1F1-B72C7DAB8DAA
Santiago,Kasimir,Suspendisse.dui@nonsollicitudina.net,1-767-929-1585,0888471F-5940-1CFB-3B35-E65BEA17A778
Horton,Thane,tortor.Nunc@dolorquam.co.uk,1-654-343-4182,58B17C4E-5280-D7CD-CC6B-3689C19E428A
Welch,Tucker,at@ipsumacmi.net,1-887-360-3294,CFE81B23-1951-AB49-80EE-D61E487BC95B
Galloway,Kyle,velit.dui.semper@pede.com,1-701-722-0530,A9871932-90BD-941F-B772-940D30D0E720
Contreras,Natalie,commodo.at@erosNam.org,1-571-467-4837,98B665A8-9E6B-D303-CB0D-CF5BEDB3E71E
Ferrell,Aline,lectus.Nullam@ametante.co.uk,1-805-367-9518,52615E3A-7B8E-EA45-8A2F-654A0C12C3ED
Gonzales,Yoko,arcu@velest.edu,1-972-446-5991,5E0A3FC0-29D5-CE80-9F1B-CC3890B32F3A
Nunez,Ila,nisi.magna.sed@sitamet.edu,1-929-722-9371,393172EA-D08D-E7A1-3760-C821539A6E3D
Knox,Ethan,sed.dui.Fusce@consectetuer.com,1-327-631-6233,73103BEF-8AB1-0832-06ED-A2FA928C595F
Holder,Victoria,euismod.urna.Nullam@nibhDonec.co.uk,1-784-251-7889,0BAD3EBC-D9C4-F6DE-06C2-D8BA0C7CF2BF
Harvey,Ruth,sit.amet.faucibus@sodales.co.uk,1-664-460-9585,60B4324B-5504-31AB-9E93-5DC062A108A0
Sanchez,Diana,Cum.sociis@Fusce.co.uk,1-757-205-2566,7EBBA903-D5BA-6799-8C2A-8B5512A7EE4F
Castro,Alvin,ipsum@Crasdictum.edu,1-520-150-7495,B2D6D75B-6B85-8102-D850-79B63ADFA88F
Byers,Rhona,Proin.eget@tristiquepellentesque.org,1-125-310-2730,D7F551D4-80A1-E1FE-F438-7747378514F2
Leon,Cadman,vitae.aliquam.eros@tinciduntorci.net,1-813-174-1135,E1B18D48-F8C0-F618-0729-FB01475737E4
Mack,Dennis,aliquet.diam.Sed@nec.com,1-384-631-5243,3310356C-CC01-B692-1AB2-CB0F8481226E
Johns,Helen,Fusce.fermentum.fermentum@blanditat.com,1-210-602-2704,F0415AC5-8389-B50F-24CF-E3A50E307AAB
Valenzuela,Quynn,ac.feugiat@Integertinciduntaliquam.com,1-877-234-2333,48D08F98-D56D-0528-9C90-CC78DBEBB023
Barton,Cole,magna.Praesent@vulputateveliteu.ca,1-128-793-6631,F8393643-61C7-A060-ADFF-3A68020CE966
Dotson,Nina,dignissim.tempor@Integer.edu,1-897-320-7975,A7246DAE-1446-483A-1D00-D69A4D31EBB4
Day,Jacqueline,fringilla.mi@Duisdignissim.org,1-988-969-8508,71CC4BD8-2018-027B-8B7A-B743C5B1B7AD
Riddle,Brody,lorem.lorem.luctus@tincidunt.edu,1-258-934-3223,EA3DC0A2-B53F-C367-5FC2-135BA713A649
Thomas,Mariko,orci.Donec.nibh@eleifend.org,1-268-772-8624,AEB98E6F-F2C5-75C7-C974-7FE29E2B99F7
Freeman,Keane,Donec.est.Nunc@dolorsitamet.org,1-342-447-3297,52F914BF-E215-8D25-5BE1-7AAC66CA8556
Fields,Aristotle,ultricies@scelerisquemollis.net,1-170-901-3516,09B4748D-2774-E455-E429-3E682899CCB5
Gentry,Sybill,Donec.elementum.lorem@idante.com,1-349-494-4082,E6FF28E3-5172-6DB6-9FBE-EF0E68D7A135
Livingston,Suki,et.nunc@dictumaugue.net,1-859-945-4879,12304A57-EAC4-D5E0-CB48-AE643088C7D0
Webster,Jocelyn,orci@vitaepurus.edu,1-290-952-5093,7613CED7-9479-F46B-190C-6A6CD6DEA8D8
Hinton,Karly,tristique.senectus.et@sollicitudinorci.co.uk,1-173-635-6664,BB555BE4-6CCF-E9B8-4594-8789EFB8166A
Cote,Ivy,molestie@lorem.ca,1-325-723-5949,3011A235-BDDD-500A-0E7D-C7B28742FC53
Mann,Lucius,nec.metus.facilisis@montesnascetur.co.uk,1-905-698-5105,784CD3D5-6FDE-1ADB-7634-DE549C07FF1D
Mills,Nasim,justo.Proin.non@Vivamuseuismodurna.edu,1-846-428-9856,6C21F884-A266-EF02-EB20-610E25CA5928
Vang,Bert,nec@orciUt.org,1-743-858-4840,08617B3A-39FE-408B-D27D-F89C76CB6462
Webb,Chaim,ac@Duiselementum.edu,1-312-777-9445,EB11207C-F9D8-1637-F38F-973B556E5241
Joyce,Kyle,amet.dapibus@odio.ca,1-828-748-8944,9F7A8EF5-0EC6-BF2B-E667-A77276267CFE
Holmes,Kelsey,per@semPellentesque.ca,1-854-178-7785,A68E1A8D-7B9B-D7AE-563E-D225E0F605F2
Carpenter,Alyssa,scelerisque.neque@afacilisis.org,1-845-226-1689,07977ECC-E78E-94E9-9954-D28F36FD5BF2
Lawson,Callie,a@erategettincidunt.edu,1-612-363-6321,74DFC849-7319-2F57-04D1-9D0EDC5062F8
Dixon,Cadman,congue.elit@etrutrum.edu,1-848-773-1712,9236440B-08D6-08F4-9441-996F9BACF45B
A,hopefully,else,something,
